JobIDRaw|Start|Elapsed|AllocTRES|State
3635078|2025-02-18T13:23:09|00:03:24|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3635078.batch|2025-02-18T13:23:09|00:03:25|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED
3635078.extern|2025-02-18T13:23:09|00:03:24|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3635132|2025-02-18T13:33:31|00:07:33|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3635132.batch|2025-02-18T13:33:31|00:07:34|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED
3635132.extern|2025-02-18T13:33:31|00:07:33|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645425|2025-02-20T12:15:36|00:01:14|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|TIMEOUT
3645425.extern|2025-02-20T12:15:36|00:01:14|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645425.0|2025-02-20T12:15:38|00:01:12|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645428|None|00:00:00||CANCELLED by 364274
3645431|None|00:00:00||CANCELLED by 364274
3645432|2025-02-20T12:25:12|00:00:02|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645432.extern|2025-02-20T12:25:12|00:00:02|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645432.0|2025-02-20T12:25:13|00:00:01|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645438|2025-02-20T12:29:45|00:01:46|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|FAILED
3645438.extern|2025-02-20T12:29:45|00:01:46|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645438.0|2025-02-20T12:29:46|00:01:45|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3645443|2025-02-20T12:32:16|00:01:15|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645443.extern|2025-02-20T12:32:16|00:01:15|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645443.0|2025-02-20T12:32:17|00:01:14|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645452|2025-02-20T12:38:50|00:00:51|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3645452.extern|2025-02-20T12:38:50|00:00:51|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645465|2025-02-20T12:49:25|00:10:43|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3645465.extern|2025-02-20T12:49:25|00:10:43|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645467|2025-02-20T12:51:26|00:08:42|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3645467.extern|2025-02-20T12:51:26|00:08:42|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645472|2025-02-20T12:53:27|00:06:41|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|CANCELLED by 364274
3645472.extern|2025-02-20T12:53:27|00:06:41|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645474|2025-02-20T12:54:58|00:01:20|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|FAILED
3645474.extern|2025-02-20T12:54:58|00:01:20|billing=35,cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|COMPLETED
3645474.0|2025-02-20T12:54:59|00:01:19|cpu=4,gres/gpu:t4=1,gres/gpu=1,mem=72000M,node=1|FAILED
